(0.0, 0.0)
(-1.069337658795288, -0.32636937889791723)
(-1.4137529421135124, 0.03609180884061446)
(-1.0332458499546735, 1.087383563215595)
(-2.102583508749962, 0.7610141843176779)
(-2.446998792068186, 1.1234753720562096)
(-2.066491699909347, 2.17476712643119)
(-3.135829358704635, 1.8483977475332727)
(-3.4802446420228597, 2.2108589352718044)
(-3.0997375498640207, 3.262150689646785)
(-4.893997584136372, 2.2469507441124192)
(-4.205167017499924, 1.5220283686353557)
(-4.930089392976987, 0.8331978019989074)
(-5.618919959613436, 1.5581201774759708)
(-5.782104649062394, 2.0927890068736144)
(-5.600874055193128, 2.2649966485327266)
(-5.075228178005639, 2.0747431024533056)
(-5.2384128674545964, 2.6094119318509525)
(-5.0571822735853305, 2.781619573510064)
(-4.53153639639784, 2.591366027430645)
(-4.694721085846799, 3.1260348568282876)
(-4.513490491977533, 3.298242498487401)
(-3.9878446147900424, 3.107988952407981)
(-4.495444587557226, 4.0051189695441565)
(-6.307750526249885, 2.2830425529530336)
(-6.996581092886333, 3.0079649284300976)
(-7.721503468363395, 2.3191343617936506)
(-7.032672901726948, 1.5942119863165825)
(-7.75759527720401, 0.9053814196801376)
(-8.44642584384046, 1.6303037951571997)
(-8.428379939420152, 2.337180266213956)
(-7.340996376204558, 3.370426116168628)
(-6.634119905147803, 3.3523802117483203)
(-7.322950471784252, 4.077302587225383)
(-9.13525641047691, 2.3552261706342583)
(-9.824086977113359, 3.080148546111327)
(-10.549009352590424, 2.391317979474874)
(-9.860178785953973, 1.6663956039978147)
(-10.585101161431037, 0.9775650373613595)
(-11.273931728067485, 1.702487412838431)
(-9.44357988495452, 4.131440300486308)
(-10.271881958955067, 3.571158519409684)
(-10.832163740031689, 4.399460593410231)
(-8.347257518030048, 6.0803059366401)
(-8.907539299106672, 6.908608010640645)
(-9.735841373107217, 6.3483262295640275)
(-10.430133300645801, 6.48233637602599)
(-11.270555972260741, 7.724789487026804)
(-11.13654582579878, 8.419081414565387)
(-11.96484789979932, 7.858799633488772)
(-10.564143447107767, 5.7880444484873985)
(-11.392445521108312, 5.227762667410778)
(-11.952727302184936, 6.056064741411327)
(-12.781029376185478, 5.495782960334705)
(-11.100184032955614, 3.0108767383330606)
(-11.962762294703934, 2.427409788315488)
(-12.651592861340383, 3.152332163792555)
(-13.376515236817447, 2.4635015971561045)
(-12.687684670180998, 1.7385792216790454)
(-13.289500649021527, 0.9399444317955751)
(-14.176207090589111, 1.4022773059052975)
(-12.789208468259934, 4.06239663060804)
(-13.675914909827517, 4.524729504717767)
(-14.13824778393724, 3.6380230631501846)
